Refactoring Type	Source Method	Target Class
Move Method	org.gjt.sp.jedit.browser.VFSBrowser::browseDirectory(org.gjt.sp.jedit.View, java.lang.String):void 	 org.gjt.sp.jedit.gui.DockableWindowManager
Move Method	org.gjt.sp.jedit.browser.VFSBrowser::rename(java.lang.String):void 	 org.gjt.sp.jedit.io.VFS
Move Method	org.gjt.sp.jedit.browser.VFSBrowser::filesActivated(int, boolean):void 	 org.gjt.sp.jedit.browser.BrowserView
Move Method	org.gjt.sp.jedit.browser.VFSBrowser::filesSelected():void 	 org.gjt.sp.jedit.View
Move Method	org.gjt.sp.jedit.buffer.KillRing::load():void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.buffer.KillRing::save():void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.Buffer::insert(int, java.lang.String):void 	 org.gjt.sp.jedit.buffer.ContentManager
Move Method	org.gjt.sp.jedit.Buffer::insert(int, javax.swing.text.Segment):void 	 org.gjt.sp.jedit.buffer.ContentManager
Move Method	org.gjt.sp.jedit.BufferHistory::load():void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.BufferHistory::save():void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.EditServer::handleClient(boolean, boolean, boolean, java.lang.String, java.lang.String[]):org.gjt.sp.jedit.Buffer 	 org.gjt.sp.jedit.PerspectiveManager
Move Method	org.gjt.sp.jedit.gui.CompleteWord::completeWord(org.gjt.sp.jedit.View):void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.gui.CompleteWord::getWordToComplete(org.gjt.sp.jedit.Buffer, int, int, java.lang.String):java.lang.String 	 org.gjt.sp.jedit.TextUtilities
Move Method	org.gjt.sp.jedit.gui.DockableWindowManager::showDockableWindow(java.lang.String):void 	 org.gjt.sp.jedit.View
Move Method	org.gjt.sp.jedit.gui.DockableWindowManager::closeCurrentArea():void 	 org.gjt.sp.jedit.gui.PanelWindowContainer
Move Method	org.gjt.sp.jedit.gui.HistoryModel::loadHistory():void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.gui.HistoryModel::saveHistory():void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.gui.PanelWindowContainer::showMostRecent():void 	 org.gjt.sp.jedit.gui.DockableWindowManager
Move Method	org.gjt.sp.jedit.GUIUtilities::loadIcon(java.lang.String):javax.swing.Icon 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.GUIUtilities::loadMenuItem(org.gjt.sp.jedit.ActionContext, java.lang.String, boolean):javax.swing.JMenuItem 	 org.gjt.sp.jedit.OperatingSystem
Move Method	org.gjt.sp.jedit.GUIUtilities::showVFSFileDialog(org.gjt.sp.jedit.View, java.lang.String, int, boolean):java.lang.String[] 	 org.gjt.sp.jedit.browser.VFSFileChooserDialog
Move Method	org.gjt.sp.jedit.GUIUtilities::loadStyles(java.lang.String, int, boolean):org.gjt.sp.jedit.syntax.SyntaxStyle[] 	 org.gjt.sp.jedit.syntax.Token
