Refactoring Type	Source Method	Target Class
Move Method	org.apache.tools.ant.taskdefs.Javadoc::setExtdirs(org.apache.tools.ant.types.Path):void 	 org.apache.tools.ant.types.Commandline
Move Method	org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantPool::getNameAndTypeEntry(java.lang.String, java.lang.String):int 	 org.apache.tools.ant.taskdefs.optional.depend.constantpool.NameAndTypeCPInfo
Move Method	org.apache.tools.ant.taskdefs.optional.dotnet.DotnetDefine::isSet(org.apache.tools.ant.Task):boolean 	 org.apache.tools.ant.Project
Move Method	org.apache.tools.ant.taskdefs.optional.dotnet.NetCommand::setExecutableCommandLine():void 	 org.apache.tools.ant.util.FileUtils
Move Method	org.apache.tools.ant.taskdefs.optional.ejb.GenericDeploymentTool::getLocation():org.apache.tools.ant.Location 	 org.apache.tools.ant.Task
Move Method	org.apache.tools.ant.taskdefs.optional.ejb.GenericDeploymentTool::createAnalyzer():void 	 org.apache.tools.ant.Task
Move Method	org.apache.tools.ant.taskdefs.optional.ejb.GenericDeploymentTool::checkAndAddDependants(java.util.Hashtable):void 	 org.apache.tools.ant.util.depend.DependencyAnalyzer
Move Method	org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc::buildArgumentList(org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.EjbInfo):java.lang.String[] 	 org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.EjbInfo
Move Method	org.apache.tools.ant.taskdefs.optional.extension.ExtensionUtil::loadExtensions(java.io.File, java.util.ArrayList, boolean, boolean):void 	 org.apache.tools.ant.taskdefs.optional.extension.Extension
Move Method	org.apache.tools.ant.taskdefs.optional.extension.ExtensionUtil::addExtension(java.util.ArrayList, org.apache.tools.ant.taskdefs.optional.extension.Extension, boolean, boolean):void 	 org.apache.tools.ant.taskdefs.optional.extension.Extension
Move Method	org.apache.tools.ant.taskdefs.optional.ide.VAJAntTool::loadBuildData(java.lang.String):org.apache.tools.ant.taskdefs.optional.ide.VAJBuildInfo 	 org.apache.tools.ant.taskdefs.optional.ide.VAJLocalUtil
Move Method	org.apache.tools.ant.taskdefs.optional.ide.VAJAntTool::saveBuildData(org.apache.tools.ant.taskdefs.optional.ide.VAJBuildInfo):void 	 org.apache.tools.ant.taskdefs.optional.ide.VAJLocalUtil
Move Method	org.apache.tools.ant.taskdefs.optional.ide.VAJLocalUtil::findLatestProjectEdition(java.lang.String, boolean):com.ibm.ivj.util.base.ProjectEdition 	 com.ibm.ivj.util.base.ProjectEdition
Move Method	org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask::createJvmarg(org.apache.tools.ant.types.CommandlineJava):org.apache.tools.ant.types.Commandline.Argument 	 org.apache.tools.ant.types.CommandlineJava
Move Method	org.apache.tools.ant.taskdefs.optional.sitraka.CovBase::findCoverageJar():java.io.File 	 org.apache.tools.ant.util.FileUtils
Move Method	org.apache.tools.ant.taskdefs.optional.sitraka.CovBase::findExecutable(java.lang.String):java.lang.String 	 org.apache.tools.ant.util.FileUtils
Move Method	org.apache.tools.ant.taskdefs.optional.sitraka.CovBase::createTempFile(java.lang.String):java.io.File 	 org.apache.tools.ant.util.FileUtils
Move Method	org.apache.tools.ant.taskdefs.optional.unix.Symlink::deleteSymlink(java.io.File):void 	 org.apache.tools.ant.util.FileUtils
Move Method	org.apache.tools.ant.taskdefs.optional.vss.MSVSS::formatCommandLine(org.apache.tools.ant.types.Commandline):java.lang.String 	 org.apache.tools.ant.types.Commandline
Move Method	org.apache.tools.ant.taskdefs.Patch::setDestfile(java.io.File):void 	 org.apache.tools.ant.types.Commandline
Move Method	org.apache.tools.ant.taskdefs.Patch::setBackups(boolean):void 	 org.apache.tools.ant.types.Commandline
Move Method	org.apache.tools.ant.taskdefs.Patch::setReverse(boolean):void 	 org.apache.tools.ant.types.Commandline
Move Method	org.apache.tools.ant.taskdefs.Rmic::setCompiler(java.lang.String):void 	 org.apache.tools.ant.util.facade.FacadeTaskHelper
Move Method	org.apache.tools.ant.taskdefs.Rmic::createCompilerArg():org.apache.tools.ant.taskdefs.Rmic.ImplementationSpecificArgument 	 org.apache.tools.ant.util.facade.FacadeTaskHelper
Move Method	org.apache.tools.ant.taskdefs.Rmic::getCurrentCompilerArgs():java.lang.String[] 	 org.apache.tools.ant.util.facade.FacadeTaskHelper
Move Method	org.apache.tools.ant.taskdefs.Touch::touch(java.io.File):void 	 org.apache.tools.ant.util.FileUtils
Move Method	org.apache.tools.ant.taskdefs.UpToDate::scanDir(java.io.File, java.lang.String[]):boolean 	 org.apache.tools.ant.util.SourceFileScanner
Move Method	org.apache.tools.ant.taskdefs.XSLTProcess::ensureDirectoryFor(java.io.File):void 	 org.apache.tools.ant.util.FileUtils
Move Method	org.apache.tools.ant.types.Assertions::addVmArgument(org.apache.tools.ant.types.CommandlineJava, java.lang.String):void 	 org.apache.tools.ant.types.CommandlineJava
Move Method	org.apache.tools.ant.types.Commandline::describeArguments(java.lang.String[], int):java.lang.String 	 org.apache.tools.ant.util.StringUtils
Move Method	org.apache.tools.ant.types.CommandlineJava::createVmArgument():org.apache.tools.ant.types.Commandline.Argument 	 org.apache.tools.ant.types.Commandline
Move Method	org.apache.tools.ant.types.CommandlineJava::setClassname(java.lang.String):void 	 org.apache.tools.ant.types.Commandline
Move Method	org.apache.tools.ant.types.CommandlineJava::getClassname():java.lang.String 	 org.apache.tools.ant.types.Commandline
Move Method	org.apache.tools.ant.types.CommandlineJava::addCommandsToList(java.util.ListIterator):void 	 org.apache.tools.ant.types.Assertions
Move Method	org.apache.tools.ant.types.CommandlineJava::size():int 	 org.apache.tools.ant.types.Assertions
Move Method	org.apache.tools.ant.types.Description::findElementInTarget(org.apache.tools.ant.Project, org.apache.tools.ant.Target, java.lang.String):java.util.Vector 	 org.apache.tools.ant.Task
Move Method	org.apache.tools.ant.types.Permissions::init():void 	 org.apache.tools.ant.types.Permissions.Permission
Move Method	org.apache.tools.ant.types.resolver.ApacheCatalogResolver::addPublicEntry(java.lang.String, java.lang.String, java.net.URL):void 	 org.apache.tools.ant.types.XMLCatalog
Move Method	org.apache.tools.ant.types.resolver.ApacheCatalogResolver::addURIEntry(java.lang.String, java.lang.String, java.net.URL):void 	 org.apache.tools.ant.types.XMLCatalog
Move Method	org.apache.tools.ant.util.ClasspathUtils::getClassLoaderForPath(org.apache.tools.ant.Project, org.apache.tools.ant.types.Reference, boolean):java.lang.ClassLoader 	 org.apache.tools.ant.Project
Move Method	org.apache.tools.ant.util.ClasspathUtils::getClassLoaderForPath(org.apache.tools.ant.Project, org.apache.tools.ant.types.Path, java.lang.String, boolean, boolean):java.lang.ClassLoader 	 org.apache.tools.ant.Project
Move Method	org.apache.tools.ant.util.ClasspathUtils::isMagicPropertySet(org.apache.tools.ant.Project):boolean 	 org.apache.tools.ant.Project
Move Method	org.apache.tools.ant.util.JavaEnvUtils::findInDir(java.lang.String, java.lang.String):java.io.File 	 org.apache.tools.ant.util.FileUtils
Move Method	org.apache.tools.ant.util.JAXPUtils::getSystemId(java.io.File):java.lang.String 	 org.apache.tools.ant.util.FileUtils
Move Method	org.apache.tools.ant.util.LoaderUtils::normalizeSource(java.io.File):java.io.File 	 org.apache.tools.ant.util.FileUtils
Move Method	org.apache.tools.ant.util.SourceFileScanner::restrict(java.lang.String[], java.io.File, java.io.File, org.apache.tools.ant.util.FileNameMapper):java.lang.String[] 	 org.apache.tools.ant.util.FileUtils
Move Method	org.apache.tools.ant.util.WeakishReference::createReferenceConstructor():void 	 org.apache.tools.ant.util.JavaEnvUtils
Move Method	org.apache.tools.mail.MailMessage::disconnect():void 	 org.apache.tools.mail.SmtpResponseReader
Move Method	org.apache.tools.ant.taskdefs.optional.sos.SOSTest::testCheckinFileFlags():void 	 org.apache.tools.ant.Project
Move Method	org.apache.tools.ant.taskdefs.optional.sos.SOSTest::testCheckoutFileFlags():void 	 org.apache.tools.ant.Project
Move Method	org.apache.tools.ant.taskdefs.optional.vss.MSVSSTest::testGetCommandLine():void 	 org.apache.tools.ant.taskdefs.optional.vss.MSVSSGET
Move Method	org.apache.tools.ant.taskdefs.optional.vss.MSVSSTest::testHistoryCommandLine3():void 	 org.apache.tools.ant.Project
Move Method	org.apache.tools.ant.taskdefs.optional.vss.MSVSSTest::testCheckinCommandLine():void 	 org.apache.tools.ant.taskdefs.optional.vss.MSVSSCHECKIN
Move Method	org.apache.tools.ant.taskdefs.optional.vss.MSVSSTest::testCheckoutCommandLine():void 	 org.apache.tools.ant.taskdefs.optional.vss.MSVSSCHECKOUT
Move Method	org.apache.tools.ant.taskdefs.optional.vss.MSVSSTest::testAddCommandLine():void 	 org.apache.tools.ant.taskdefs.optional.vss.MSVSSADD
Move Method	org.apache.tools.ant.taskdefs.optional.vss.MSVSSTest::testCpCommandLine():void 	 org.apache.tools.ant.taskdefs.optional.vss.MSVSSCP
Move Method	org.apache.tools.ant.taskdefs.optional.vss.MSVSSTest::testCreateCommandLine():void 	 org.apache.tools.ant.taskdefs.optional.vss.MSVSSCREATE
