Refactoring Type	Source Method	Target Class
Move Method	org.gjt.sp.jedit.pluginmgr.PluginList.Dependency::isSatisfied():boolean 	 org.gjt.sp.jedit.pluginmgr.PluginList.Plugin
Move Method	org.gjt.sp.jedit.print.BufferPrinter1_4::getPrintJob(java.lang.String):java.awt.print.PrinterJob 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.print.BufferPrinter1_4::savePrintSpec():void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.search.SearchAndReplace::hyperSearch(org.gjt.sp.jedit.View, boolean):boolean 	 org.gjt.sp.jedit.GUIUtilities
Move Method	org.gjt.sp.jedit.search.SearchAndReplace::find(org.gjt.sp.jedit.View):boolean 	 org.gjt.sp.jedit.GUIUtilities
Move Method	org.gjt.sp.jedit.search.SearchAndReplace::replace(org.gjt.sp.jedit.View):boolean 	 org.gjt.sp.jedit.TextUtilities
Move Method	org.gjt.sp.jedit.search.SearchAndReplace::replace(org.gjt.sp.jedit.View, org.gjt.sp.jedit.Buffer, int, int):boolean 	 org.gjt.sp.jedit.GUIUtilities
Move Method	org.gjt.sp.jedit.search.SearchAndReplace::replaceAll(org.gjt.sp.jedit.View):boolean 	 org.gjt.sp.jedit.TextUtilities
Move Method	org.gjt.sp.jedit.search.SearchAndReplace::record(org.gjt.sp.jedit.View, java.lang.String, boolean, boolean):void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.search.SearchAndReplace::_replace(org.gjt.sp.jedit.View, org.gjt.sp.jedit.Buffer, org.gjt.sp.jedit.search.SearchMatcher, int, int, boolean):int 	 org.gjt.sp.jedit.TextUtilities
Move Method	org.gjt.sp.jedit.search.SearchDialog::showSearchDialog(org.gjt.sp.jedit.View, java.lang.String, int):void 	 org.gjt.sp.jedit.GUIUtilities
Move Method	org.gjt.sp.jedit.textarea.JEditTextArea::moveCaretPosition(int, boolean):void 	 org.gjt.sp.jedit.textarea.ChunkCache
Move Method	org.gjt.sp.jedit.textarea.JEditTextArea::goToLastVisibleLine(boolean):void 	 org.gjt.sp.jedit.textarea.FoldVisibilityManager
Move Method	org.gjt.sp.jedit.textarea.JEditTextArea::recalculateLastPhysicalLine():void 	 org.gjt.sp.jedit.textarea.FoldVisibilityManager
Move Method	org.gjt.sp.jedit.TextUtilities::getTokenAtOffset(org.gjt.sp.jedit.syntax.Token, int):org.gjt.sp.jedit.syntax.Token 	 org.gjt.sp.jedit.syntax.Token
Move Method	org.gjt.sp.jedit.TextUtilities::spacesToTabs(java.lang.String, int):java.lang.String 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.TextUtilities::formatParagraph(java.lang.String, int, int, java.lang.StringBuffer):void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.View::nextTextArea():void 	 org.gjt.sp.jedit.EditPane
Move Method	org.gjt.sp.jedit.View::updateGutterBorders():void 	 org.gjt.sp.jedit.EditPane
Move Method	org.gjt.sp.jedit.View::loadToolBars():void 	 org.gjt.sp.jedit.gui.ToolBarManager
